request,category,action,confidence,capabilities
"emergency shutdown of postgresql",automation,restart_service,0.86,"service_management|system_monitoring|system_info"
"modify timeout in nginx",configuration,update_config,0.8,"system_info|service_management"
"describe database cluster",information,explain_concept,0.82,"system_info"
"modify timeout in postgresql",configuration,set_permissions,0.84,"system_info|disk_management"
"describe web server",information,show_documentation,0.8,"system_info"
"check connectivity to web-01",troubleshooting,investigate_error,0.96,"log_analysis|system_monitoring"
"modify timeout in ssh",configuration,update_security,0.79,"system_info|service_management|disk_management"
"fix memory leak on 192.168.1.100",troubleshooting,analyze_logs,0.83,"log_analysis|text_search"
"restart redis service",automation,deploy_application,0.85,"service_management|disk_management|system_monitoring"
"list all servers",asset_management,get_credentials,0.87,"credential_access|secret_retrieval"
"show dashboard for docker",monitoring,check_alerts,0.77,"system_monitoring|log_analysis"
"show examples of curl commands",information,math,0.93,"system_info|resource_listing"
"analyze logs for out of memory",troubleshooting,investigate_error,0.89,"log_analysis|system_monitoring"
"configure mysql on prod-web-01",configuration,update_config,0.95,"system_info|service_management|disk_management"
"list available databases",information,explain_concept,0.88,"system_info"
"backup /var/log to /tmp",automation,stop_service,0.81,"service_management|system_monitoring"
"how do I restart a service",information,math,0.82,"system_info"
"modify max_connections in redis",configuration,update_config,0.97,"system_info|service_management|disk_management"
"emergency shutdown of docker",automation,run_script,0.98,"system_info|process_management|disk_management"
"change port to 8080",configuration,update_environment,0.96,"system_info|service_management"
"restore /home/user from /backup/daily",automation,deploy_application,0.75,"service_management|disk_management|system_monitoring"
"start mysql on server1",automation,deploy_application,0.92,"service_management|disk_management|system_monitoring|process_management"
"find asset by service type",asset_management,get_credentials,0.95,"credential_access|secret_retrieval"
"explain load balancing",information,show_examples,0.78,"system_info"
"diagnose ssh issue",troubleshooting,analyze_logs,0.89,"log_analysis|text_search|process_monitoring"
"update security settings for ssh",configuration,modify_parameters,0.85,"system_info|service_management"
"restore /var/log from /backup/daily",automation,stop_service,0.85,"service_management|system_monitoring"
"start docker on prod-web-01",automation,start_service,0.82,"service_management|system_monitoring"
"read /etc/hostname",information,provide_information,0.78,"system_info|infrastructure_info|resource_listing"
"get CPU metrics for web-01",monitoring,check_health,0.82,"system_monitoring|service_management"
"get asset db-prod-01",asset_management,query_assets,0.9,"asset_management|asset_query|network_info"
"start nginx on server1",automation,deploy_application,0.82,"service_management|disk_management|system_monitoring"
"list available credentials",asset_management,get_asset_info,0.79,"asset_management|asset_query|network_info"
"describe load balancer",information,show_examples,0.93,"system_info"
"list all servers",asset_management,list_credentials,0.88,"credential_access|secret_retrieval"
"restore /home/user from /snapshots/latest",automation,stop_service,0.95,"service_management|system_monitoring"
"calculate memory usage",information,compute,0.9,"system_info"
"count active servers",asset_management,asset_discovery,0.92,"asset_management|network_info"
"set permissions for /home/user",configuration,modify_parameters,0.88,"system_info|service_management"
"explain firewall rules",information,calculate,0.81,"system_info|infrastructure_info"
"modify buffer_size in postgresql",configuration,update_config,0.84,"system_info|service_management"
"run maintenance.sh on db-server",automation,restore_data,0.79,"disk_management|system_info"
"show network config",information,get_help,0.77,"system_info"
"restore /etc/nginx from /snapshots/latest",automation,deploy_application,0.82,"service_management|disk_management|system_monitoring|process_management"
"check alerts for staging",monitoring,view_dashboard,0.78,"system_monitoring|api_query"
"debug API performance",troubleshooting,investigate_error,0.78,"log_analysis|system_monitoring"
"analyze logs for permission denied",troubleshooting,diagnose_issue,0.85,"system_monitoring|log_analysis|process_monitoring|network_testing"
"check status of redis",monitoring,check_health,0.85,"system_monitoring|service_management|memory_monitoring"
"set permissions for /etc/nginx",configuration,change_settings,0.93,"system_info|service_management|disk_management"
"backup /var/www to /backup",automation,emergency_response,0.9,"service_management|system_monitoring|process_management"
"list available containers",information,math,0.79,"system_info"
"find asset by IP address",asset_management,count_assets,0.88,"asset_management|asset_query"
"list all servers",asset_management,list_assets,0.75,"asset_management|resource_listing|asset_query"
"execute ps aux",automation,deploy_application,0.97,"service_management|disk_management|system_monitoring"
"get status report",information,answer_question,0.89,"system_info"
"view logs for mysql",monitoring,view_logs,0.85,"log_analysis|system_info|disk_monitoring"
"describe web server",information,calculate,0.86,"system_info"
"discover assets in 192.168.1.0/24",asset_management,query_assets,0.75,"asset_management|asset_query"
"restore /var/log from /backup/daily",automation,deploy_application,0.81,"service_management|disk_management|system_monitoring"
"stop mysql",automation,emergency_response,0.75,"service_management|system_monitoring|process_management"
"stop nginx",automation,start_service,0.82,"service_management|system_monitoring|system_info"
"list all servers",asset_management,list_credentials,0.88,"credential_access|secret_retrieval"
"get server list",information,compute,0.83,"system_info"
"count active servers",asset_management,get_asset,0.8,"asset_management|asset_query|resource_listing"
"what is the status of service",information,answer_question,0.78,"system_info|infrastructure_info"
"show dashboard for redis",monitoring,check_alerts,0.83,"system_monitoring|log_analysis"
"list all servers",asset_management,list_credentials,0.9,"credential_access|secret_retrieval|resource_listing"
"update redis configuration",configuration,update_security,0.94,"system_info|service_management|disk_management"
"how do I restart a service",information,explain_concept,0.83,"system_info"
"modify max_connections in mysql",configuration,change_settings,0.93,"system_info|service_management"
"how do I check logs",information,show_examples,0.84,"system_info"
"get credentials for docker",asset_management,asset_count,0.78,"asset_management|asset_query"
"diagnose performance issues on web-01",troubleshooting,check_connectivity,0.76,"network_testing|network_monitoring|system_monitoring"
"show documentation for docker",information,describe_system,0.93,"system_info|infrastructure_info|resource_listing"
"stop nginx",automation,stop_service,0.9,"service_management|system_monitoring"
"monitor performance of server1",monitoring,check_health,0.92,"system_monitoring|service_management"
"diagnose performance issues on server1",troubleshooting,diagnose_issue,0.78,"system_monitoring|log_analysis|process_monitoring"
"diagnose docker issue",troubleshooting,investigate_error,0.87,"log_analysis|system_monitoring"
"backup /home/user to /archive",automation,stop_service,0.91,"service_management|system_monitoring|system_info"
"investigate out of memory in API",troubleshooting,check_connectivity,0.8,"network_testing|network_monitoring"
"check status of redis",monitoring,check_status,0.84,"system_monitoring|service_management"
"update security settings for mysql",configuration,configure_service,0.81,"service_management|system_info|disk_management"
"update test settings",configuration,configure_service,0.86,"service_management|system_info"
"restore /var/log from /backup/daily",automation,start_service,0.83,"service_management|system_monitoring"
"update apache configuration",configuration,change_settings,0.81,"system_info|service_management"
"set permissions for /var/www",configuration,configure_service,0.76,"service_management|system_info"
"debug API performance",troubleshooting,debug_application,0.78,"process_monitoring|log_analysis|system_monitoring|network_testing"
"query assets in AWS us-east-1",asset_management,get_asset,0.84,"asset_management|asset_query|network_info"
"calculate disk space",information,calculate,0.98,"system_info"
"update security settings for ssh",configuration,change_settings,0.91,"system_info|service_management"
"investigate out of memory in service",troubleshooting,fix_problem,0.86,"service_management|system_info|process_management"
"get asset server-001",asset_management,query_assets,0.85,"asset_management|asset_query"
"get information about server",asset_management,query_assets,0.98,"asset_management|asset_query"
"check connectivity to prod-web-01",troubleshooting,fix_problem,0.86,"service_management|system_info|process_management|network_testing"
"get credentials for postgresql",asset_management,find_asset,0.9,"asset_management|asset_query"
"change port to 8080",configuration,update_security,0.9,"system_info|service_management"
"search for db-primary",asset_management,search_assets,0.76,"asset_management|asset_query"
"check connectivity to server1",troubleshooting,analyze_logs,0.86,"log_analysis|text_search"
"investigate connection timeout in web app",troubleshooting,analyze_logs,0.88,"log_analysis|text_search"
"how do I check logs",information,list_resources,0.82,"resource_listing|system_info|infrastructure_info"
"update test settings",configuration,update_security,0.76,"system_info|service_management"
"get CPU metrics for 192.168.1.100",monitoring,monitor_performance,0.94,"system_monitoring|memory_monitoring|process_monitoring"
"analyze logs for connection timeout",troubleshooting,check_connectivity,0.86,"network_testing|network_monitoring"
"investigate connection timeout in API",troubleshooting,diagnose_performance,0.75,"system_monitoring|memory_monitoring|process_monitoring"
"diagnose performance issues on 192.168.1.100",troubleshooting,analyze_logs,0.95,"log_analysis|text_search|network_testing"
"display contents of /proc/cpuinfo",information,compute,0.83,"system_info"
"show dashboard for nginx",monitoring,get_metrics,0.85,"system_monitoring|memory_monitoring|disk_monitoring"
"query assets in datacenter-1",asset_management,find_asset,0.94,"asset_management|asset_query|network_info"
"diagnose ssh issue",troubleshooting,diagnose_issue,0.75,"system_monitoring|log_analysis|process_monitoring"
"describe load balancer",information,answer_question,0.93,"system_info|resource_listing"
"investigate connection timeout in database",troubleshooting,debug_application,0.88,"process_monitoring|log_analysis|system_monitoring|network_testing"
"show process list",information,show_examples,0.86,"system_info|infrastructure_info"
"update test settings",configuration,modify_parameters,0.84,"system_info|service_management"
"update security settings for redis",configuration,set_permissions,0.86,"system_info|disk_management|service_management"
"count active servers",asset_management,search_assets,0.9,"asset_management|asset_query"
"display contents of /etc/passwd",information,answer_question,0.86,"system_info|resource_listing"
"search for web-server",asset_management,asset_count,0.82,"asset_management|asset_query"
"list available credentials",asset_management,list_servers,0.78,"asset_management|resource_listing"
"run deploy.py on server1",automation,emergency_response,0.88,"service_management|system_monitoring|process_management"
"execute ls -la",automation,emergency_response,0.79,"service_management|system_monitoring|process_management"
"update security settings for docker",configuration,update_security,0.78,"system_info|service_management"
"update apache configuration",configuration,modify_parameters,0.85,"system_info|service_management"
"list all servers",asset_management,query_assets,0.92,"asset_management|asset_query"
"show examples of ssh keys",information,get_help,0.8,"system_info|infrastructure_info"
"query assets in datacenter-1",asset_management,get_asset_info,0.8,"asset_management|asset_query"
"what is the status of web server",information,show_examples,0.88,"system_info|resource_listing"
"check alerts for staging",monitoring,get_metrics,0.78,"system_monitoring|memory_monitoring|disk_monitoring"
"update security settings for redis",configuration,configure_service,0.92,"service_management|system_info"
"display contents of /var/log/nginx/access.log",information,show_examples,0.83,"system_info"
"monitor performance of 192.168.1.100",monitoring,view_dashboard,0.92,"system_monitoring|api_query"
"check connectivity to web-01",troubleshooting,analyze_logs,0.84,"log_analysis|text_search"
"fix memory leak on 192.168.1.100",troubleshooting,fix_problem,0.77,"service_management|system_info|process_management|log_analysis"
"list available credentials",asset_management,find_asset,0.83,"asset_management|asset_query"
"debug database performance",troubleshooting,check_connectivity,0.95,"network_testing|network_monitoring|process_monitoring"
"debug database performance",troubleshooting,investigate_error,0.9,"log_analysis|system_monitoring|process_monitoring"
"get server list",information,describe_system,0.77,"system_info|infrastructure_info"
"describe load balancer",information,math,0.75,"system_info"
"update test settings",configuration,configure_service,0.81,"service_management|system_info|disk_management"
"show examples of cron jobs",information,show_examples,0.8,"system_info"
"investigate permission denied in database",troubleshooting,check_connectivity,0.83,"network_testing|network_monitoring|system_monitoring"
"diagnose apache issue",troubleshooting,fix_problem,0.98,"service_management|system_info|process_management"
"update mysql configuration",configuration,update_config,0.87,"system_info|service_management"
